roundness,aspect_ratio,narrow_factor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,mean_R,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.48873,1.6633,1.0404,0.18242,0.007321,0.000143,0.000016,0,0.000001,86.107,18.914,18.572,18.887,22.378,-0.072122,-0.29977,0.9916,3.0839,0.14247,0.986,0.23779,0.93359,1
0.44435,1.527,1.0997,0.17493,0.004889,0.00002,0.000001,0,0,81.93,18.193,14.632,14.718,18.725,0.32702,0.26289,1.1246,4.2484,0.12161,0.98829,0.31033,0.9422,1
0.45814,1.5029,1.1027,0.17377,0.004505,0.000002,0,0,0,71.186,0.67092,20.459,19.413,5.3617,0.1003,0.10654,11.262,163,0.16684,0.98583,0.20671,0.92156,1
0.44937,1.4595,1.113,0.1759,0.004033,0.000002,0,0,0,77.506,4.2004,20.321,20.16,12.049,-0.25257,-0.25588,3.8261,20.501,0.12946,0.98901,0.23932,0.93908,1
0.53894,1.4531,1.0522,0.17102,0.003732,0.000004,0,0,0,71.83,3.3107,18.34,17.335,10.443,-0.11659,-0.075956,4.2707,25.536,0.17439,0.98391,0.22171,0.91992,1
0.41199,1.5991,1.08,0.17985,0.006199,0.000097,0.000013,0,0.000001,76.955,25.285,18.083,18.708,24.355,0.2838,0.13374,0.7455,2.7111,0.14554,0.98803,0.22229,0.93045,1
0.4871,1.5215,1.1174,0.1748,0.004808,0.000009,0.000001,0,0,79.247,2.4622,17.595,16.983,8.704,-0.14517,-0.046325,5.3247,41.155,0.13939,0.98679,0.2674,0.93619,1
0.45385,1.6676,1.1144,0.18229,0.007373,0.000023,0.000003,0,0,84.227,25.657,16.734,17.051,22.129,-0.038928,-0.19961,0.53461,2.5019,0.12352,0.98879,0.26103,0.94194,1
0.42869,1.6532,1.112,0.18153,0.007103,0.000075,0.000006,0,0,83.248,29.788,16.832,17.793,22.856,-0.18753,-0.41953,0.31567,2.3786,0.12004,0.98969,0.26538,0.9436,1
0.47475,1.5926,1.1158,0.17815,0.00599,0.000021,0.000001,0,0,81.448,11.477,17.501,17.897,17.715,-0.23393,-0.39122,1.6185,5.1664,0.12816,0.98849,0.26178,0.93989,1
0.44286,1.6225,1.096,0.18042,0.006575,0.000048,0.000005,0,0,81.235,10.801,17.726,17.75,17.346,-0.045869,-0.13509,1.815,6.1162,0.12681,0.98906,0.26043,0.94088,1
0.4102,1.5652,1.1477,0.17738,0.005558,0.000036,0.000003,0,0,85.971,20.82,19.129,18.603,22.4,-0.15137,-0.32685,0.95108,3.2994,0.12191,0.98877,0.25251,0.94206,1
0.46799,1.508,1.0787,0.17398,0.004583,0.000029,0.000003,0,0,85.26,19.464,15.983,16.212,20.229,-0.31331,-0.3079,0.86719,3.1471,0.1203,0.98835,0.27846,0.94251,1
0.42974,1.7845,1.1159,0.189,0.009735,0.000088,0.00001,0,0.000001,80.012,17.276,18.446,18.689,22.564,-0.1353,-0.27008,1.1355,3.254,0.14607,0.98785,0.22817,0.93077,1
0.47308,1.7318,1.1316,0.18498,0.00855,0.000003,0,0,0,86.175,3.4493,18.49,17.718,9.9996,-0.515,-0.52031,3.9425,22.973,0.11596,0.98894,0.27402,0.94547,1
